id,name,album_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,color
64LTn5fTsPR0QLy7bVYl9w,"Nocturne No. 19 in E Minor, Op. 72, No. 1",5MyejkHGSoo5IfTum4VMiw,classical,0.334,0.00732,4,-30.908,0,0.0355,0.991,0.952,0.0968,0.0964,60.171,audio_features,spotify:track:64LTn5fTsPR0QLy7bVYl9w,https://api.spotify.com/v1/tracks/64LTn5fTsPR0QLy7bVYl9w,https://api.spotify.com/v1/audio-analysis/64LTn5fTsPR0QLy7bVYl9w,241987,4,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
64ZxBE1ZgK4C0lGljXzDcG,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",1BxxmokA4eBg1EBpfYP1fC,classical,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,audio_features,spotify:track:64ZxBE1ZgK4C0lGljXzDcG,https://api.spotify.com/v1/tracks/64ZxBE1ZgK4C0lGljXzDcG,https://api.spotify.com/v1/audio-analysis/64ZxBE1ZgK4C0lGljXzDcG,204147,4,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
65DBZofI0b79kfHTcWWDuU,Trátame Suavemente - Remasterizado 2007,3i4nU0OIi7gMmXDEhG9ZRt,rock,0.738,0.8,11,-3.366,0,0.0283,0.043,0.0543,0.595,0.532,122.858,audio_features,spotify:track:65DBZofI0b79kfHTcWWDuU,https://api.spotify.com/v1/tracks/65DBZofI0b79kfHTcWWDuU,https://api.spotify.com/v1/audio-analysis/65DBZofI0b79kfHTcWWDuU,200800,4,[0.5 0.  1.  1. ]
65FftemJ1DbbZ45DUfHJXE,OMG,45ozep8uHHnj5CCittuyXj,pop,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,audio_features,spotify:track:65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/tracks/65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/audio-analysis/65FftemJ1DbbZ45DUfHJXE,212253,4,[0.00196078 0.70928131 0.92328911 1.        ]
65J9Ep6oWjSgyJ8MFChjWl,"Nulla in mundo pax, R.630: 1. Nulla in mundo pax sincera - Edit",3yqJWnxxoV8jvSvG763qRx,classical,0.302,0.183,3,-14.139,1,0.044,0.808,0.0198,0.17,0.111,99.064,audio_features,spotify:track:65J9Ep6oWjSgyJ8MFChjWl,https://api.spotify.com/v1/tracks/65J9Ep6oWjSgyJ8MFChjWl,https://api.spotify.com/v1/audio-analysis/65J9Ep6oWjSgyJ8MFChjWl,168013,4,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
65S2uk1hIun6u09QaSckn7,Eye Of The Tiger,1DqgNIlDZPscRHgdCgDhZR,rock,0.815,0.497,5,-13.633,0,0.0345,0.243,0.000245,0.0682,0.611,107.024,audio_features,spotify:track:65S2uk1hIun6u09QaSckn7,https://api.spotify.com/v1/tracks/65S2uk1hIun6u09QaSckn7,https://api.spotify.com/v1/audio-analysis/65S2uk1hIun6u09QaSckn7,233533,4,[0.5 0.  1.  1. ]
65a1ng2xAbaRbYWsq9H2MH,Lionheart,3O26r0jhu5oE0ITWbQJdnX,classical,0.329,0.0232,2,-24.632,0,0.0372,0.993,0.922,0.0965,0.112,111.377,audio_features,spotify:track:65a1ng2xAbaRbYWsq9H2MH,https://api.spotify.com/v1/tracks/65a1ng2xAbaRbYWsq9H2MH,https://api.spotify.com/v1/audio-analysis/65a1ng2xAbaRbYWsq9H2MH,209693,4,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
65gLItuJFVkdt3k4ibQMAz,Blindsided,7qxClQvz2eSkDB7CtFfPZH,pop,0.667,0.581,0,-5.89,1,0.0375,0.227,0.0,0.112,0.407,122.016,audio_features,spotify:track:65gLItuJFVkdt3k4ibQMAz,https://api.spotify.com/v1/tracks/65gLItuJFVkdt3k4ibQMAz,https://api.spotify.com/v1/audio-analysis/65gLItuJFVkdt3k4ibQMAz,170907,4,[0.00196078 0.70928131 0.92328911 1.        ]
66GYfa8d7hZDXhzEaIG3Ct,Love on a Lonely Street,3XdY17cROlAbonVCRJskmc,jazz,0.565,0.0112,4,-21.035,1,0.0474,0.995,0.959,0.105,0.242,86.831,audio_features,spotify:track:66GYfa8d7hZDXhzEaIG3Ct,https://api.spotify.com/v1/tracks/66GYfa8d7hZDXhzEaIG3Ct,https://api.spotify.com/v1/audio-analysis/66GYfa8d7hZDXhzEaIG3Ct,154528,4,[0.50392157 0.99998103 0.70492555 1.        ]
66ZcOcouenzZEnzTJvoFmH,The Sweet Escape,7xnZ539lh8x6de9jzlpCJp,pop,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961,audio_features,spotify:track:66ZcOcouenzZEnzTJvoFmH,https://api.spotify.com/v1/tracks/66ZcOcouenzZEnzTJvoFmH,https://api.spotify.com/v1/audio-analysis/66ZcOcouenzZEnzTJvoFmH,246467,4,[0.00196078 0.70928131 0.92328911 1.        ]
